budget_size,smart_ev,naive_ev,improvement,pct_improvement,overlap_pct
50,79076.78813761787,21188.11070552796,57888.67743208991,273.2130213808388,0.0
100,139446.4334350551,45103.8641686582,94342.56926639691,209.1673762443479,1.0
200,230087.56818842504,101247.26795264627,128840.30023577876,127.25311293934158,15.5
300,298390.2366538456,154046.83532377108,144343.4013300745,93.70098452636032,28.666666666666668
500,391208.7246450825,275218.74781475565,115989.97683032684,42.144649574671206,60.199999999999996
750,459349.67727116455,417115.8543601404,42233.82291102415,10.12520201990673,78.8
1000,491600.15218940435,482350.55720855703,9249.594980847323,1.917608436979169,92.60000000000001
1271,496731.7766506666,496571.8843710518,159.89227961481083,0.03219922123003948,97.5609756097561
